average reward,percentage optimal action
1.39826,67.9747
1.40057,67.9877
1.48491,67.9988
1.45645,68.0109
1.45737,68.0229
1.43327,68.0354
1.40148,68.0469
1.46488,68.0585
1.46898,68.0714
1.42388,68.0835
1.4459,68.0968
1.45607,68.1101
1.43544,68.1224
1.43641,68.1356
1.44917,68.1479
1.41392,68.1594
1.41482,68.1713
1.44827,68.1843
1.39665,68.1957
1.41732,68.2072
1.47132,68.22
1.47665,68.2326
1.38133,68.2438
1.39563,68.2559
1.42063,68.2678
1.43878,68.2795
1.39585,68.2904
1.46337,68.3025
1.40702,68.3143
1.41732,68.325
1.46489,68.3359
1.48319,68.348
1.47831,68.3601
1.45664,68.3719
1.49872,68.3847
1.43502,68.396
1.46011,68.4083
1.45293,68.4203
1.38508,68.432
1.43692,68.4424
1.43005,68.455
1.42051,68.466
1.42775,68.4784
1.40755,68.4905
1.43675,68.5015
1.38606,68.5121
1.43268,68.5234
1.45308,68.5351
1.41049,68.5458
1.51978,68.559
1.45223,68.5705
1.46442,68.5824
1.44717,68.5933
1.45121,68.6043
1.43382,68.616
1.42863,68.6273
1.45471,68.6379
1.45939,68.6486
1.43256,68.6591
1.45246,68.6691
1.40493,68.6802
1.46194,68.6922
1.45792,68.7023
1.45356,68.713
1.44597,68.7236
1.48111,68.7348
1.44671,68.7467
1.41019,68.7584
1.44656,68.7712
1.40347,68.7814
1.40093,68.7929
1.43993,68.8049
1.49252,68.816
1.40671,68.8268
1.43119,68.838
1.40158,68.8485
1.41498,68.8588
1.47154,68.8697
1.45811,68.8812
1.48216,68.8912
1.41132,68.902
1.37824,68.9127
1.43225,68.9235
1.40854,68.9341
1.49415,68.9453
1.45041,68.9567
1.46619,68.9672
1.43724,68.9781
1.46137,68.9882
1.46002,68.9994
1.44071,69.0108
1.42913,69.0218
1.46415,69.0322
1.48145,69.044
1.41814,69.054
1.44386,69.0648
1.45958,69.0763
1.44096,69.088
1.48726,69.0988
1.41339,69.1096
1.4416,69.1205
1.4583,69.1311
1.42171,69.1416
1.41441,69.1511
1.44106,69.1619
1.41169,69.1717
1.43605,69.182
1.42204,69.1929
1.46931,69.2036
1.41122,69.2143
1.42964,69.2242
1.40717,69.2348
1.43698,69.2451
1.38514,69.2558
1.44307,69.2658
1.43472,69.2759
1.47373,69.2872
1.41544,69.2983
